module,gene_count,top_genes,all_genes,chosen_module_count,module_silhouette,raw_score_min,raw_score_median,raw_score_max
1,5,"MMP10, MMP7, KRT17, SAA2, CXCL8","MMP10, MMP7, KRT17, SAA2, CXCL8",9,0.49365758428596723,-0.45719093084335327,-0.2987113893032074,7.859326362609863
2,5,"SCGB1A1, BPIFB1, MUC5B, AZGP1, TSPAN8","SCGB1A1, BPIFB1, MUC5B, AZGP1, TSPAN8",9,0.49365758428596723,-0.4831942915916443,-0.25328004360198975,7.446765899658203
3,10,"COMP, MMP11, THBS2, FAP, COL1A1, COL12A1, CTHRC1, INHBA, COL10A1, COL5A1","COMP, MMP11, THBS2, FAP, COL1A1, COL12A1, CTHRC1, INHBA, COL10A1, COL5A1",9,0.49365758428596723,-0.8628851771354675,-0.21719609200954437,6.144253253936768
4,14,"SPP1, CHIT1, MARCO, MMP9, CHI3L1, IL1RN, TREM2, CPM, TGFBI, CCL18, CCL24, S100A9","SPP1, CHIT1, MARCO, MMP9, CHI3L1, IL1RN, TREM2, CPM, TGFBI, CCL18, CCL24, S100A9, MRC1, APOE",9,0.49365758428596723,-0.8121766448020935,-0.18286487460136414,4.78101110458374
5,25,"SFTPC, AGER, PGC, FCN3, AQP4, SFTPD, AQP5, SFTPB, NAPSA, LAMP3, NKX2-1, MSLN","SFTPC, AGER, PGC, FCN3, AQP4, SFTPD, AQP5, SFTPB, NAPSA, LAMP3, NKX2-1, MSLN, DMBT1, CTSE, HOPX, HHIP, SCEL, LRRK2, RNASE1, GKN2, DUOX1, AGR3, EPCAM, SFTA2, LMO3",9,0.49365758428596723,-0.7935260534286499,-0.4125511944293976,3.3182690143585205
6,3,"DES, MYH11, PLN","DES, MYH11, PLN",9,0.49365758428596723,-0.8035247325897217,-0.38233330845832825,4.623724460601807
7,21,"C7, SFRP2, INMT, MMRN1, IGHA2, PTGDS, CXCL12, MZB1, PDK4, SLIT3, CAV1, IGF1","C7, SFRP2, INMT, MMRN1, IGHA2, PTGDS, CXCL12, MZB1, PDK4, SLIT3, CAV1, IGF1, CES1, VWF, SPARCL1, HIF3A, GJA5, PLXNA4, ITGA8, PECAM1, ADAMTS1",9,0.49365758428596723,-1.257274866104126,0.14502614736557007,1.9207104444503784
8,36,"MS4A1, CXCL13, BANK1, CD19, SELL, CD79B, LTF, CD3E, CD27, CXCR4, CD79A, TIGIT","MS4A1, CXCL13, BANK1, CD19, SELL, CD79B, LTF, CD3E, CD27, CXCR4, CD79A, TIGIT, CXCL14, CNR1, CD3D, GZMK, CD3G, PDE4B, CD1C, PTPRC, CD2, IL7R, CCL5, KLRB1, CD28, SPOCK2, CD8A, CD247, DUSP2, HLA-DQA1, COL4A3, IGHM, CD8B, GZMA, HDAC9, HMGA1",9,0.49365758428596723,-0.8410336375236511,-0.20900875329971313,3.335714340209961
9,1,IGHD,IGHD,9,0.49365758428596723,-0.49662715196609497,-0.3834846615791321,8.436483383178711
