run,group,backbone,label_set,loss_variant,strategy,epochs_recorded,history_path
resnet50_crop128_3class_infonce_l005_11032366_1,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.05,frozen/default,5,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/loss_ablation/resnet50_crop128_3class_infonce_l005_11032366_1/history.json
resnet50_crop128_3class_infonce_l010_11032366_2,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.10,frozen/default,5,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/loss_ablation/resnet50_crop128_3class_infonce_l010_11032366_2/history.json
resnet50_crop128_3class_infonce_l020_11032366_3,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.20,frozen/default,5,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/loss_ablation/resnet50_crop128_3class_infonce_l020_11032366_3/history.json
resnet50_crop128_3class_infonce_l050_11032366_4,loss_ablation,ResNet50,3-class,CE+InfoNCE 0.50,frozen/default,5,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/loss_ablation/resnet50_crop128_3class_infonce_l050_11032366_4/history.json
resnet50_crop128_3class_infonce_only_11032366_5,loss_ablation,ResNet50,3-class,InfoNCE-only,frozen/default,4,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/loss_ablation/resnet50_crop128_3class_infonce_only_11032366_5/history.json
resnet50_crop128_8class_ce_only_11032366_6,loss_ablation,ResNet50,8-class,CE-only,frozen/default,8,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/loss_ablation/resnet50_crop128_8class_ce_only_11032366_6/history.json
resnet50_crop128_8class_infonce_l005_11032366_7,loss_ablation,ResNet50,8-class,CE+InfoNCE 0.05,frozen/default,8,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/loss_ablation/resnet50_crop128_8class_infonce_l005_11032366_7/history.json
resnet50_crop128_8class_infonce_l010_11032366_8,loss_ablation,ResNet50,8-class,CE+InfoNCE 0.10,frozen/default,8,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/loss_ablation/resnet50_crop128_8class_infonce_l010_11032366_8/history.json
resnet50_crop128_8class_infonce_l020_11032366_9,loss_ablation,ResNet50,8-class,CE+InfoNCE 0.20,frozen/default,8,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/loss_ablation/resnet50_crop128_8class_infonce_l020_11032366_9/history.json
resnet50_crop128_8class_infonce_l050_11032366_10,loss_ablation,ResNet50,8-class,CE+InfoNCE 0.50,frozen/default,8,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/loss_ablation/resnet50_crop128_8class_infonce_l050_11032366_10/history.json
resnet50_crop128_8class_infonce_only_11032366_11,loss_ablation,ResNet50,8-class,InfoNCE-only,frozen/default,5,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/loss_ablation/resnet50_crop128_8class_infonce_only_11032366_11/history.json
smoke_gigapath_project_11016891,initial,GigaPath,metric,other,frozen/default,1,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/smoke_gigapath_project_11016891/history.json
gigapath_crop128_3class_frozen_constant_l005_11038859_0,training_strategy,GigaPath,3-class,other,frozen constant,4,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/training_strategy/gigapath_crop128_3class_frozen_constant_l005_11038859_0/history.json
gigapath_crop128_3class_frozen_warmcos_l005_11038859_1,training_strategy,GigaPath,3-class,other,frozen warmup/cosine,4,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/training_strategy/gigapath_crop128_3class_frozen_warmcos_l005_11038859_1/history.json
gigapath_crop128_3class_last1_warmcos_l005_11038859_2,training_strategy,GigaPath,3-class,other,last-1 warmup/cosine,5,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/training_strategy/gigapath_crop128_3class_last1_warmcos_l005_11038859_2/history.json
gigapath_crop128_3class_last2_warmcos_l005_11038859_3,training_strategy,GigaPath,3-class,other,last-2 warmup/cosine,6,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/training_strategy/gigapath_crop128_3class_last2_warmcos_l005_11038859_3/history.json
gigapath_crop128_8class_last2_warmcos_l005_11040134,training_strategy,GigaPath,8-class,other,last-2 warmup/cosine,7,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/training_runs/training_strategy/gigapath_crop128_8class_last2_warmcos_l005_11040134/history.json
