run,group,backbone,label_set,loss_variant,strategy,epoch,split,loss,ce_img,ce_expr,align,acc_img,acc_expr,macro_f1_img,macro_f1_expr,embed512
cls_gigapath_crop128_3class_gpu_rtx6000_project_v2_11016974,initial,GigaPath,3-class,other,frozen/default,1,train,1.0073382700674045,0.497827456643184,0.5027901238929002,0.013441375316455005,0.7323717948717948,0.7431891025641025,,,False
cls_gigapath_crop128_3class_gpu_rtx6000_project_v2_11016974,initial,GigaPath,3-class,other,frozen/default,1,val,1.6022380466461181,0.7890954432487488,0.807136314201355,0.012012590849399566,0.6288,0.7376,0.5821732402239206,0.6654075332583219,False
cls_gigapath_crop128_3class_gpu_rtx6000_project_v2_11016974,initial,GigaPath,3-class,other,frozen/default,2,train,0.5998493019873515,0.39770920892269945,0.19627366662741855,0.011732855534109358,0.7890625,0.9053485576923077,,,False
cls_gigapath_crop128_3class_gpu_rtx6000_project_v2_11016974,initial,GigaPath,3-class,other,frozen/default,2,val,1.7125842044830322,0.7447244193553925,0.9620694117546081,0.01158075124025345,0.68,0.7544,0.6165829734276443,0.6724369223327278,False
cls_gigapath_crop128_3class_gpu_rtx6000_project_v2_11016974,initial,GigaPath,3-class,other,frozen/default,3,train,0.47478113691203105,0.3667174603025883,0.10253361183314179,0.011060130391389323,0.8044871794871795,0.9520232371794872,,,False
cls_gigapath_crop128_3class_gpu_rtx6000_project_v2_11016974,initial,GigaPath,3-class,other,frozen/default,3,val,1.765080130958557,0.6263015271663666,1.133274934196472,0.011007333835959435,0.734,0.7544,0.6808704941485173,0.6723960315964131,False
cls_gigapath_crop128_3class_gpu_rtx6000_project_v2_11016974,initial,GigaPath,3-class,other,frozen/default,4,train,0.4073261433782486,0.34445196805665124,0.05757399992599415,0.010600350737476196,0.8168068910256411,0.9748597756410257,,,False
cls_gigapath_crop128_3class_gpu_rtx6000_project_v2_11016974,initial,GigaPath,3-class,other,frozen/default,4,val,1.8858278604507446,0.6207823437213897,1.259645125579834,0.010800797054171562,0.7288,0.7524,0.6735264874509115,0.6656720536390893,False
cls_gigapath_crop128_metric_gpu_rtx6000_project_v2_11016973,initial,GigaPath,metric,CE+MSE baseline,frozen/default,1,train,1.2500441334186456,0.4757047415448305,0.7681084499718287,0.012461893594799897,0.6963141025641025,0.5772235576923077,,,False
cls_gigapath_crop128_metric_gpu_rtx6000_project_v2_11016973,initial,GigaPath,metric,CE+MSE baseline,frozen/default,1,val,2.7345210796356203,1.1512908420562744,1.5773119354248046,0.011836627541482448,0.4324,0.416,0.48347384758896583,0.33018740957470427,False
cls_gigapath_crop128_metric_gpu_rtx6000_project_v2_11016973,initial,GigaPath,metric,CE+MSE baseline,frozen/default,2,train,0.49872193337442017,0.2674885180611641,0.22645975128771403,0.009547330531625984,0.7896634615384616,0.8451522435897436,,,False
cls_gigapath_crop128_metric_gpu_rtx6000_project_v2_11016973,initial,GigaPath,metric,CE+MSE baseline,frozen/default,2,val,2.458901451301575,0.9387936902046203,1.5149146681785584,0.010386222457885742,0.5264,0.5436,0.5436408297107305,0.41179102734127765,False
