label,display,dice,precision,recall,source_type,source_run,ranker,top_k,selected,method,path
lung_bronchiola,bronchiola,0.7584895277722803,0.8678655458471871,0.6735969409626366,candidate_oracle,ficture_official_11938226,candidate_by_dice,1,base_official_points_step32/303,"SAM on FICTURE ROI, point prompts (32 px spacing)",/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938226/base_official_points_step32/candidate_report.json
lung_alveoli_normal_adjacent,alveoli,0.6040524108494428,0.7417344668921596,0.5094815496996463,candidate_oracle,ficture_official_11938227,candidate_by_dice,1,base_box512_s160_m2048/31,"SAM on FICTURE ROI, box prompts (512 px box, 160 px stride)",/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938227/base_box512_s160_m2048/candidate_report.json
lung_vessels,vessels,0.6258168365762051,0.9216922590627028,0.4737400167598721,candidate_oracle,ficture_official_11938228,candidate_by_dice,1,medical_box512_s160_m1536/25,"Medical-SAM3 on FICTURE ROI, box prompts (512 px box, 160 px stride)",/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938228/medical_box512_s160_m1536/candidate_report.json
tumor,tumor,0.5274175403219218,0.3656600773581253,0.9458218040362218,candidate_oracle,ficture_official_11938226,candidate_by_dice,1,base_official_points_step32/56,"SAM on FICTURE ROI, point prompts (32 px spacing)",/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938226/base_official_points_step32/candidate_report.json
stroma,stroma,0.5275844618046485,0.37131544695424573,0.9109672656485213,candidate_oracle,ficture_official_11942555,candidate_by_dice,1,base_official_points_step24/85,"SAM on FICTURE ROI, point prompts (24 px spacing)",/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11942555/base_official_points_step24/candidate_report.json
immune_infiltration,immune infiltration,0.2752627821677375,0.44662495007322595,0.19893493370021587,candidate_oracle,ficture_official_11938228,candidate_by_dice,1,medical_box512_s160_m1536/36,"Medical-SAM3 on FICTURE ROI, box prompts (512 px box, 160 px stride)",/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938228/medical_box512_s160_m1536/candidate_report.json
erythorocytes,erythrocytes,0.17338303928239432,0.19600026000476675,0.1554455785819844,candidate_oracle,ficture_official_11938227,candidate_by_dice,1,base_box512_s160_m1536/43,"SAM on FICTURE ROI, box prompts (512 px box, 160 px stride)",/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938227/base_box512_s160_m1536/candidate_report.json
pigment,pigment,0.15294453973699257,0.24351388256713702,0.11148155865805376,candidate_oracle,ficture_official_11938226,candidate_by_dice,1,medical_official_points_step24/1735,"Medical-SAM3 on FICTURE ROI, point prompts (24 px spacing)",/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938226/medical_official_points_step24/candidate_report.json
