label,display,dice,precision,recall,source_type,source_run,ranker,top_k,selected,method,path,retrieve_figure_path,retrieve_union_mask_path
lung_bronchiola,bronchiola,0.7686839993788177,0.7659531255037235,0.7714344158500711,multimodal_candidate_ranking,official_ficture_consensus_fast_11946275,molecular_only,8,ficture/base_point64_m1024_p700/68;ficture/medical_point80_m1024_p500/36;ficture/medical_point80_m1536_p700/82;ficture/medical_box256_s96_m1536/80;ficture/medical_point96_m1536_p500/58;ficture/base_point96_m1536_p500/22;ficture/base_box512_s160_m1536/45;ficture/base_point48_m1024_p900/60,multimodal_candidate_ranking: official_ficture_consensus_fast_11946275,output/visium_hd_exp1/multimodal_candidate_ranking/official_ficture_consensus_fast_11946275/best_by_label.csv,output/visium_hd_exp1/final_official_ficture_clean_20260517/retrieve_six_panel/01_lung_bronchiola_official_ficture_retrieve_best_by_dice_6panel.png,output/visium_hd_exp1/final_official_ficture_clean_20260517/retrieve_best_masks/01_lung_bronchiola_retrieve_union_mask.png
lung_alveoli_normal_adjacent,alveoli,0.23863553875618426,0.1411211737004166,0.7722768155389077,multimodal_candidate_ranking,official_ficture_consensus_fast_11946275,vessel_elongated_prior,2,ficture/base_box96_s48_m1536/0;ficture/medical_official_points_step24/1,multimodal_candidate_ranking: official_ficture_consensus_fast_11946275,output/visium_hd_exp1/multimodal_candidate_ranking/official_ficture_consensus_fast_11946275/best_by_label.csv,output/visium_hd_exp1/final_official_ficture_clean_20260517/retrieve_six_panel/02_lung_alveoli_normal_adjacent_official_ficture_retrieve_best_by_dice_6panel.png,output/visium_hd_exp1/final_official_ficture_clean_20260517/retrieve_best_masks/02_lung_alveoli_normal_adjacent_retrieve_union_mask.png
lung_vessels,vessels,0.8073374502343926,0.7375072768020077,0.8917742444329759,multimodal_candidate_ranking,official_ficture_consensus_cpu_recheck_11956202,alveoli_clip_precision,3,ficture/medical_box512_s160_m1536/22;ficture/medical_box512_s160_m1536/25;ficture/base_box512_s160_m2048/34,multimodal_candidate_ranking: official_ficture_consensus_cpu_recheck_11956202,output/visium_hd_exp1/multimodal_candidate_ranking/official_ficture_consensus_cpu_recheck_11956202/best_by_label.csv,output/visium_hd_exp1/final_official_ficture_clean_20260517/retrieve_six_panel/03_lung_vessels_official_ficture_retrieve_best_by_dice_6panel.png,output/visium_hd_exp1/final_official_ficture_clean_20260517/retrieve_best_masks/03_lung_vessels_retrieve_union_mask.png
tumor,tumor,0.5765869141444134,0.6463335193790986,0.5204270257436489,multimodal_candidate_ranking,official_ficture_lowoverlap_quick_11949262,high_recall,20,ficture/base_point96_m1536_p500/60;ficture/base_point80_m1024_p500/34;ficture/medical_box160_s64_m1536/50;ficture/medical_official_points_step24/11;ficture/base_official_boxes_b384_s96/49;ficture/medical_point80_m1024_p500/72;ficture/base_point64_m1536_p900/68;ficture/base_point80_m1536_p700/77;ficture/medical_point80_m1024_p500/53;ficture/base_point64_m1536_p900/64;ficture/medical_point80_m1024_p500/70;ficture/base_point64_m1024_p700/77;ficture/base_box384_s128_m1536/33;ficture/medical_box256_s96_m1536/34;ficture/base_box384_s128_m1536/15;ficture/base_box384_s128_m1536/31;ficture/base_point80_m1536_p700/65;ficture/base_point80_m1024_p500/23;ficture/base_box384_s128_m1536/46;ficture/base_box512_s160_m1536/16,multimodal_candidate_ranking: official_ficture_lowoverlap_quick_11949262,output/visium_hd_exp1/multimodal_candidate_ranking/official_ficture_lowoverlap_quick_11949262/best_by_label.csv,output/visium_hd_exp1/final_official_ficture_clean_20260517/retrieve_six_panel/04_tumor_official_ficture_retrieve_best_by_dice_6panel.png,output/visium_hd_exp1/final_official_ficture_clean_20260517/retrieve_best_masks/04_tumor_retrieve_union_mask.png
stroma,stroma,0.47487204508459163,0.5540487964937774,0.41549537276088416,multimodal_candidate_ranking,official_ficture_plip_highrecall_quick_11950671,salip_clip,20,ficture/base_point80_m1536_p700/33;ficture/base_point80_m1024_p500/37;ficture/base_point80_m1536_p700/34;ficture/base_point64_m1024_p700/37;ficture/medical_box512_s160_m2048/60;ficture/medical_box384_s128_m2048/66;ficture/medical_point96_m1536_p500/60;ficture/base_point80_m1536_p700/38;ficture/medical_box192_s64_m1536/67;ficture/base_box384_s128_m1536/43;ficture/base_point80_m1536_p700/47;ficture/base_point48_m1024_p900/25;ficture/base_box384_s128_m2048/64;ficture/medical_box256_s96_m2048/67;ficture/medical_box512_s160_m2048/40;ficture/base_box512_s160_m1536/33;ficture/medical_point64_m1024_p700/1;ficture/base_point80_m1024_p500/48;ficture/medical_box512_s160_m1536/21;ficture/base_box512_s160_m2048/48,multimodal_candidate_ranking: official_ficture_plip_highrecall_quick_11950671,output/visium_hd_exp1/multimodal_candidate_ranking/official_ficture_plip_highrecall_quick_11950671/best_by_label.csv,output/visium_hd_exp1/final_official_ficture_clean_20260517/retrieve_six_panel/05_stroma_official_ficture_retrieve_best_by_dice_6panel.png,output/visium_hd_exp1/final_official_ficture_clean_20260517/retrieve_best_masks/05_stroma_retrieve_union_mask.png
immune_infiltration,immune infiltration,0.3964697671607014,0.35021446060584877,0.4568029743542987,multimodal_candidate_ranking,official_ficture_consensus_cpu_recheck_11956202,alveoli_precision_prior,8,ficture/medical_box384_s128_m2048/108;ficture/medical_box384_s128_m2048/117;ficture/base_box512_s160_m1536/54;ficture/medical_box256_s96_m1536/113;ficture/medical_box512_s160_m2048/63;ficture/medical_box384_s128_m1536/69;ficture/medical_box384_s128_m2048/107;ficture/medical_box512_s160_m1536/43,multimodal_candidate_ranking: official_ficture_consensus_cpu_recheck_11956202,output/visium_hd_exp1/multimodal_candidate_ranking/official_ficture_consensus_cpu_recheck_11956202/best_by_label.csv,output/visium_hd_exp1/final_official_ficture_clean_20260517/retrieve_six_panel/06_immune_infiltration_official_ficture_retrieve_best_by_dice_6panel.png,output/visium_hd_exp1/final_official_ficture_clean_20260517/retrieve_best_masks/06_immune_infiltration_retrieve_union_mask.png
erythorocytes,erythrocytes,0.08904579988839764,0.1073524389107958,0.07607316518639667,multimodal_candidate_ranking,official_ficture_consensus_cpu_recheck_11956202,he_heuristic,5,ficture/base_point64_m1536_p900/82;ficture/base_point80_m1536_p700/38;ficture/medical_box256_s96_m2048/83;ficture/medical_box192_s64_m1536/77;ficture/medical_box512_s160_m2048/60,multimodal_candidate_ranking: official_ficture_consensus_cpu_recheck_11956202,output/visium_hd_exp1/multimodal_candidate_ranking/official_ficture_consensus_cpu_recheck_11956202/best_by_label.csv,output/visium_hd_exp1/final_official_ficture_clean_20260517/retrieve_six_panel/07_erythorocytes_official_ficture_retrieve_best_by_dice_6panel.png,output/visium_hd_exp1/final_official_ficture_clean_20260517/retrieve_best_masks/07_erythorocytes_retrieve_union_mask.png
pigment,pigment,0.04581151832460733,0.03314510189049841,0.07414672420557081,multimodal_candidate_ranking,official_ficture_plip_highrecall_quick_11950671,salip_clip,1,ficture/medical_point96_m1536_p500/63,multimodal_candidate_ranking: official_ficture_plip_highrecall_quick_11950671,output/visium_hd_exp1/multimodal_candidate_ranking/official_ficture_plip_highrecall_quick_11950671/best_by_label.csv,output/visium_hd_exp1/final_official_ficture_clean_20260517/retrieve_six_panel/08_pigment_official_ficture_retrieve_best_by_dice_6panel.png,output/visium_hd_exp1/final_official_ficture_clean_20260517/retrieve_best_masks/08_pigment_retrieve_union_mask.png
