tissue class,best Dice,Precision,Recall,source,best-performing method/run,ranker,top_k,selected,path
bronchiola,0.768684,0.765953,0.771434,multimodal_candidate_ranking,multimodal_candidate_ranking: official_ficture_consensus_fast_11946275,molecular_only,8,ficture/base_point64_m1024_p700/68;ficture/medical_point80_m1024_p500/36;ficture/medical_point80_m1536_p700/82;ficture/medical_box256_s96_m1536/80;ficture/medical_point96_m1536_p500/58;ficture/base_point96_m1536_p500/22;ficture/base_box512_s160_m1536/45;ficture/base_point48_m1024_p900/60,output/visium_hd_exp1/multimodal_candidate_ranking/official_ficture_consensus_fast_11946275/best_by_label.csv
alveoli,0.604052,0.741734,0.509482,candidate_oracle,"SAM on FICTURE ROI, box prompts (512 px box, 160 px stride)",candidate_by_dice,1,base_box512_s160_m2048/31,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938227/base_box512_s160_m2048/candidate_report.json
vessels,0.807337,0.737507,0.891774,multimodal_candidate_ranking,multimodal_candidate_ranking: official_ficture_consensus_cpu_recheck_11956202,alveoli_clip_precision,3,ficture/medical_box512_s160_m1536/22;ficture/medical_box512_s160_m1536/25;ficture/base_box512_s160_m2048/34,output/visium_hd_exp1/multimodal_candidate_ranking/official_ficture_consensus_cpu_recheck_11956202/best_by_label.csv
tumor,0.576587,0.646334,0.520427,multimodal_candidate_ranking,multimodal_candidate_ranking: official_ficture_lowoverlap_quick_11949262,high_recall,20,ficture/base_point96_m1536_p500/60;ficture/base_point80_m1024_p500/34;ficture/medical_box160_s64_m1536/50;ficture/medical_official_points_step24/11;ficture/base_official_boxes_b384_s96/49;ficture/medical_point80_m1024_p500/72;ficture/base_point64_m1536_p900/68;ficture/base_point80_m1536_p700/77;ficture/medical_point80_m1024_p500/53;ficture/base_point64_m1536_p900/64;ficture/medical_point80_m1024_p500/70;ficture/base_point64_m1024_p700/77;ficture/base_box384_s128_m1536/33;ficture/medical_box256_s96_m1536/34;ficture/base_box384_s128_m1536/15;ficture/base_box384_s128_m1536/31;ficture/base_point80_m1536_p700/65;ficture/base_point80_m1024_p500/23;ficture/base_box384_s128_m1536/46;ficture/base_box512_s160_m1536/16,output/visium_hd_exp1/multimodal_candidate_ranking/official_ficture_lowoverlap_quick_11949262/best_by_label.csv
stroma,0.527584,0.371315,0.910967,candidate_oracle,"SAM on FICTURE ROI, point prompts (24 px spacing)",candidate_by_dice,1,base_official_points_step24/85,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11942555/base_official_points_step24/candidate_report.json
immune infiltration,0.396470,0.350214,0.456803,multimodal_candidate_ranking,multimodal_candidate_ranking: official_ficture_consensus_cpu_recheck_11956202,alveoli_precision_prior,8,ficture/medical_box384_s128_m2048/108;ficture/medical_box384_s128_m2048/117;ficture/base_box512_s160_m1536/54;ficture/medical_box256_s96_m1536/113;ficture/medical_box512_s160_m2048/63;ficture/medical_box384_s128_m1536/69;ficture/medical_box384_s128_m2048/107;ficture/medical_box512_s160_m1536/43,output/visium_hd_exp1/multimodal_candidate_ranking/official_ficture_consensus_cpu_recheck_11956202/best_by_label.csv
erythrocytes,0.173383,0.196000,0.155446,candidate_oracle,"SAM on FICTURE ROI, box prompts (512 px box, 160 px stride)",candidate_by_dice,1,base_box512_s160_m1536/43,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938227/base_box512_s160_m1536/candidate_report.json
pigment,0.152945,0.243514,0.111482,candidate_oracle,"Medical-SAM3 on FICTURE ROI, point prompts (24 px spacing)",candidate_by_dice,1,medical_official_points_step24/1735,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938226/medical_official_points_step24/candidate_report.json
