tissue class,best Dice,Precision,Recall,25%,median,75%,best-performing method,setting,job_root,best_candidate_index,n_candidates,all_dice_count,report_path,figure_path,candidate_mask_path
bronchiola,0.7584895277722803,0.8678655458471871,0.6735969409626366,0.2707845327669034,0.5466049810844239,0.7248355142962567,"SAM on FICTURE ROI, point prompts (32 px spacing)",base_official_points_step32,ficture_official_11938226,303,750,60,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938226/base_official_points_step32/candidate_report.json,output/visium_hd_exp1/official_ficture_candidate_best_report/six_panel/01_lung_bronchiola_official_ficture_best_by_dice_6panel.png,output/visium_hd_exp1/official_ficture_candidate_best_report/best_candidate_masks/01_lung_bronchiola_best_candidate_mask.png
alveoli,0.6040524108494428,0.7417344668921596,0.5094815496996463,0.1355250568980803,0.19766182394152576,0.40053352886719046,"SAM on FICTURE ROI, box prompts (512 px box, 160 px stride)",base_box512_s160_m2048,ficture_official_11938227,31,110,60,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938227/base_box512_s160_m2048/candidate_report.json,output/visium_hd_exp1/official_ficture_candidate_best_report/six_panel/02_lung_alveoli_normal_adjacent_official_ficture_best_by_dice_6panel.png,output/visium_hd_exp1/official_ficture_candidate_best_report/best_candidate_masks/02_lung_alveoli_normal_adjacent_best_candidate_mask.png
vessels,0.6258168365762051,0.9216922590627028,0.4737400167598721,0.2935788102901495,0.489430904496046,0.594303360747479,"Medical-SAM3 on FICTURE ROI, box prompts (512 px box, 160 px stride)",medical_box512_s160_m1536,ficture_official_11938228,25,56,60,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938228/medical_box512_s160_m1536/candidate_report.json,output/visium_hd_exp1/official_ficture_candidate_best_report/six_panel/03_lung_vessels_official_ficture_best_by_dice_6panel.png,output/visium_hd_exp1/official_ficture_candidate_best_report/best_candidate_masks/03_lung_vessels_best_candidate_mask.png
tumor,0.5274175403219218,0.3656600773581253,0.9458218040362218,0.0949990729823717,0.23690579059111683,0.45179036341982626,"SAM on FICTURE ROI, point prompts (32 px spacing)",base_official_points_step32,ficture_official_11938226,56,750,60,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938226/base_official_points_step32/candidate_report.json,output/visium_hd_exp1/official_ficture_candidate_best_report/six_panel/04_tumor_official_ficture_best_by_dice_6panel.png,output/visium_hd_exp1/official_ficture_candidate_best_report/best_candidate_masks/04_tumor_best_candidate_mask.png
stroma,0.5275844618046485,0.37131544695424573,0.9109672656485213,0.06609758748072554,0.12886505822082858,0.41935159850138465,"SAM on FICTURE ROI, point prompts (24 px spacing)",base_official_points_step24,ficture_official_11942555,85,1033,60,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11942555/base_official_points_step24/candidate_report.json,output/visium_hd_exp1/official_ficture_candidate_best_report/six_panel/05_stroma_official_ficture_best_by_dice_6panel.png,output/visium_hd_exp1/official_ficture_candidate_best_report/best_candidate_masks/05_stroma_best_candidate_mask.png
immune infiltration,0.2752627821677375,0.44662495007322595,0.19893493370021587,0.1152539071222233,0.14961055573662685,0.20053053854401326,"Medical-SAM3 on FICTURE ROI, box prompts (512 px box, 160 px stride)",medical_box512_s160_m1536,ficture_official_11938228,36,56,60,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938228/medical_box512_s160_m1536/candidate_report.json,output/visium_hd_exp1/official_ficture_candidate_best_report/six_panel/06_immune_infiltration_official_ficture_best_by_dice_6panel.png,output/visium_hd_exp1/official_ficture_candidate_best_report/best_candidate_masks/06_immune_infiltration_best_candidate_mask.png
erythrocytes,0.17338303928239432,0.19600026000476675,0.1554455785819844,0.07357975640179004,0.07796975657943767,0.08926705775774729,"SAM on FICTURE ROI, box prompts (512 px box, 160 px stride)",base_box512_s160_m1536,ficture_official_11938227,43,56,60,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938227/base_box512_s160_m1536/candidate_report.json,output/visium_hd_exp1/official_ficture_candidate_best_report/six_panel/07_erythorocytes_official_ficture_best_by_dice_6panel.png,output/visium_hd_exp1/official_ficture_candidate_best_report/best_candidate_masks/07_erythorocytes_best_candidate_mask.png
pigment,0.15294453973699257,0.24351388256713702,0.11148155865805376,0.02456563930995731,0.06345943664251964,0.10937501316711387,"Medical-SAM3 on FICTURE ROI, point prompts (24 px spacing)",medical_official_points_step24,ficture_official_11938226,1735,2141,60,/nfs/roberts/project/pi_xy48/hw646/Medical-SAM3/results/visium_hd_exp1/ficture_official_filtered_candidate_pool/ficture_official_11938226/medical_official_points_step24/candidate_report.json,output/visium_hd_exp1/official_ficture_candidate_best_report/six_panel/08_pigment_official_ficture_best_by_dice_6panel.png,output/visium_hd_exp1/official_ficture_candidate_best_report/best_candidate_masks/08_pigment_best_candidate_mask.png
